Area,Leanguage,corn ,Avocado,Pumpkin,beans ,Value
European Languages,Albanian,misër ,avokado ,kungull ,bathë ,1
European Languages,Basque,Arto ,aguakatea ,kalabaza ,babarrunak ,1
European Languages,Belarusian,кукуруза ,авакада ,гарбуз ,бабы ,1
European Languages,Bosnian,kukuruz ,avokado ,bundeva ,grah ,1
European Languages,Bulgarian,царевица ,авокадо ,тиква ,боб ,1
European Languages,Catalan,blat de moro ,alvocat ,carbassa ,fesols ,1
European Languages,Croatian,kukuruz ,avokado ,bundeva ,grah ,1
European Languages,Czech,kukuřice ,avokádo ,dýně ,fazole ,1
European Languages,Danish,majs ,avocado ,græskar ,bønner ,1
European Languages,Dutch,maïs ,avocado ,pompoen ,bonen ,1
European Languages,Estonian,mais ,avokaado ,kõrvits ,oad ,1
European Languages,Finnish,maissi ,avokado ,kurpitsa ,pavut ,1
European Languages,French,maïs ,avocat ,citrouille ,haricots ,1
European Languages,Galician,millo ,aguacate ,cabaza ,feixóns ,1
European Languages,German,Mais ,Avocado ,Kürbis ,Bohnen ,1
European Languages,Greek,καλαμπόκι ,αβοκάντο ,κολοκύθι ,φασόλια ,1
European Languages,Hungarian,kukorica ,avokádó ,tök ,bab ,1
European Languages,Icelandic,korn ,avókadó ,grasker ,baunir ,1
European Languages,Irish,arbhar ,avocado ,pumpkin ,pónairí ,1
European Languages,Italian,mais ,avocado ,zucca ,fagioli ,1
European Languages,Latvian,kukurūza ,avokado ,ķirbis ,pupas ,1
European Languages,Lithuanian,kukurūzai ,avokadas ,moliūgas ,pupelės ,1
European Languages,Macedonian,пченка ,авокадо ,тиква ,грав ,1
European Languages,Maltese,qamħ ,avokado ,qara ,fażola ,1
European Languages,Norwegian,mais ,avokado ,gresskar ,bønner ,1
European Languages,Polish,kukurydza ,awokado ,dynia ,fasola ,1
European Languages,Portuguese,milho ,abacate ,Abóbora ,feijões ,1
European Languages,Romanian,porumb ,avocado ,dovleac ,fasole ,1
European Languages,Russian,кукуруза ,авокадо ,тыква ,фасоль ,1
European Languages,Serbian,кукуруз ,авокадо ,бундева ,пасуљ ,1
European Languages,Slovak,kukurica ,avokádo ,tekvica ,fazuľa ,1
European Languages,Slovenian,koruza ,avokado ,buče ,fižol ,1
